time_ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
3270,75,232,183,245,255,0,0,0
3280,73,231,184,245,255,0,0,0
3290,71,230,185,245,255,0,0,0
3300,70,230,186,245,255,0,0,0
3310,68,229,187,246,255,0,0,0
3320,66,228,188,246,255,0,0,0
3330,64,227,189,246,255,0,0,0
3340,63,226,190,246,255,0,0,0
3350,61,225,191,247,255,0,0,0
3360,59,224,192,247,255,0,0,0
3370,57,224,193,247,255,0,0,0
3380,56,223,194,247,255,0,0,0
3390,54,222,194,248,255,0,0,0
3400,53,221,195,248,255,0,0,0
3410,51,220,196,248,255,0,0,0
3420,49,219,197,248,255,0,0,0
3430,48,218,198,249,255,0,0,0
3440,46,218,199,249,255,0,0,0
3450,45,217,200,249,255,0,0,0
3460,43,216,201,249,255,0,0,0
3470,42,215,202,249,255,0,0,0
3480,40,214,203,250,255,0,0,0
3490,39,213,204,250,255,0,0,0
3500,37,212,205,250,255,0,0,0
3510,36,212,206,250,255,0,0,0
3520,35,211,207,250,255,0,0,0
3530,33,210,208,251,255,0,0,0
3540,32,209,209,251,255,0,0,0
3550,31,208,210,251,255,0,0,0
3560,29,207,211,251,255,0,0,0
3570,28,207,212,251,255,0,0,0
3580,27,206,213,252,255,0,0,0
3590,26,205,214,252,255,0,0,0
3600,24,204,215,252,255,0,0,0
3610,23,203,216,252,255,0,0,0
3620,22,202,217,252,255,0,0,0
3630,21,201,218,252,255,0,0,0
3640,20,201,219,252,255,0,0,0
3650,19,200,220,253,255,0,0,0
3660,18,199,221,253,255,0,0,0
3670,17,198,222,253,255,0,0,0
3680,16,197,223,253,255,0,0,0
3690,15,196,224,253,255,0,0,0
3700,14,196,225,253,255,0,0,0
3710,13,195,226,253,255,0,0,0
3720,12,194,227,253,255,0,0,0
3730,11,193,228,254,255,0,0,0
3740,10,192,229,254,255,0,0,0
3750,10,191,230,254,255,0,0,0
3760,9,190,231,254,255,0,0,0
3770,8,190,232,254,255,0,0,0
3780,8,189,233,254,255,0,0,0
3790,7,188,234,254,255,0,0,0
3800,6,187,235,254,255,0,0,0
3810,6,186,236,254,255,0,0,0
3820,5,185,237,254,255,0,0,0
3830,5,184,238,254,255,0,0,0
3840,4,184,239,254,255,0,0,0
3850,4,183,240,255,255,0,0,0
3860,3,182,241,255,255,0,0,0
3870,3,181,242,255,255,0,0,0
3880,2,180,243,255,255,0,0,0
3890,2,179,244,255,255,0,0,0
3900,2,178,245,255,255,0,0,0
3910,1,178,246,255,255,0,0,0
3920,1,177,247,255,255,0,0,0
